date,NO2
2025-08-24,8.063610584940761e-05
2025-08-25,7.469598494935781e-05
2025-08-26,6.8755864049308e-05
2025-08-27,5.595044058281928e-05
2025-08-28,8.00684774731053e-05
2025-08-29,8.519348557456397e-05
2025-08-30,4.770733357872814e-05
2025-08-31,3.362177176313708e-05
2025-09-01,4.905708192382008e-05
2025-09-02,4.147137951804325e-05
2025-09-03,3.388567711226642e-05
2025-09-04,2.825142018991756e-05
2025-09-05,5.458094528876245e-05
2025-09-06,4.9763682181946936e-05
2025-09-07,4.4946419075131415e-05
2025-09-08,4.01291559683159e-05
2025-09-09,3.531189286150038e-05
2025-09-10,3.0494629754684865e-05
2025-09-11,2.900252366089262e-05
2025-09-12,3.674525578389876e-05
2025-09-13,5.573301859840285e-05
2025-09-14,3.636437213572208e-05
2025-09-15,5.070043152954895e-05
2025-09-16,2.873210542020388e-05
2025-09-17,3.788962021644693e-05
2025-09-18,4.704713501268998e-05
2025-09-19,4.239809459249955e-05
2025-09-20,3.774905417230912e-05
2025-09-21,4.806115975952707e-05
2025-09-22,6.147780004539527e-05
2025-09-23,6.376956480380613e-05
2025-09-24,5.326920017978409e-05
2025-09-25,4.276883555576205e-05
2025-09-26,2.272281381010544e-05
2025-09-27,2.964478153444361e-05
2025-09-28,-2.345399934711168e-06
2025-09-29,2.01944731088588e-05
2025-09-30,2.3353210053755902e-05
2025-10-01,2.6511946998653002e-05
2025-10-02,2.9670683943550102e-05
2025-10-03,3.1379855499835685e-05
2025-10-04,6.535049760714173e-05
2025-10-05,3.028174432984088e-05
2025-10-06,3.57160161001957e-05
2025-10-07,8.372458250960335e-05
2025-10-08,6.610119635297451e-05
2025-10-09,7.615701269969577e-05
2025-10-10,8.621282904641703e-05
2025-10-11,3.691385791171342e-05
2025-10-12,4.354730117483996e-05
2025-10-13,3.550056544554536e-05
2025-10-14,2.745382971625077e-05
2025-10-15,2.408474938420113e-05
2025-10-16,4.158880619797856e-05
2025-10-17,4.284968235879205e-05
2025-10-18,2.8430362362996675e-05
2025-10-19,3.1368810596177354e-05
2025-10-20,3.0438562235859637e-05
2025-10-21,2.9508313875541917e-05
2025-10-22,2.85780655152242e-05
2025-10-23,2.7647817154906483e-05
2025-10-24,2.6717568794588762e-05
2025-10-25,2.5787320434271045e-05
2025-10-26,2.4857072073953328e-05
2025-10-27,2.3926823713635608e-05
2025-10-28,2.299657535331789e-05
2025-10-29,2.6951663812724288e-05
2025-10-30,3.090675227213069e-05
2025-10-31,3.4861840731537086e-05
2025-11-01,3.881692919094348e-05
2025-11-02,4.277201765034988e-05
2025-11-03,4.672710610975628e-05
2025-11-04,5.0682194569162675e-05
2025-11-05,5.463728302856907e-05
2025-11-06,3.592051780287875e-05
2025-11-07,1.7203752577188425e-05
2025-11-08,1.825425393830161e-05
2025-11-09,1.9304755299414795e-05
2025-11-10,2.035525666052798e-05
2025-11-11,2.1405758021641166e-05
2025-11-12,2.245625938275435e-05
2025-11-13,2.3506760743867533e-05
2025-11-14,2.455726210498072e-05
2025-11-15,2.5607763466093904e-05
2025-11-16,2.6658264827207087e-05
2025-11-17,2.7708766188320274e-05
2025-11-18,2.8759267549433458e-05
2025-11-19,2.9809768910546642e-05
2025-11-20,3.086027027165983e-05
2025-11-21,2.832624340953771e-05
2025-11-22,2.913407479354646e-05
2025-11-23,2.994190617755521e-05
2025-11-24,2.7841861538036028e-05
2025-11-25,2.5741816898516845e-05
2025-11-26,3.311500768177211e-05
2025-11-27,3.744947534869425e-05
2025-11-28,4.178394301561639e-05
2025-11-29,4.611841068253852e-05
2025-11-30,5.045287834946066e-05
2025-12-01,5.47873460163828e-05
2025-12-02,3.603175355237909e-05
2025-12-03,2.806424345180858e-05
2025-12-04,2.2008458358868666e-05
2025-12-05,1.5952673265928752e-05
2025-12-06,2.298425476965349e-05
2025-12-07,3.0015836273378227e-05
2025-12-08,2.9234326575533487e-05
2025-12-09,3.135044880764326e-05
2025-12-10,3.3466571039753035e-05
2025-12-11,1.9912382413167503e-05
2025-12-12,2.3187407350633293e-05
2025-12-13,1.921354305522982e-05
2025-12-14,2.2429894670494832e-05
2025-12-15,2.5646246285759844e-05
2025-12-16,1.67171198484084e-05
2025-12-17,7.78799341105696e-06
2025-12-18,1.536924058598288e-05
2025-12-19,2.29504877609088e-05
2025-12-20,3.053173493583472e-05
2025-12-21,3.811298211076064e-05
2025-12-22,2.858182051568292e-05
2025-12-23,1.819806311686989e-05
2025-12-24,1.9025361098101712e-05
2025-12-25,1.985265907933353e-05
2025-12-26,2.084032348648179e-05
2025-12-27,2.1827987893630052e-05
2025-12-28,2.281565230077831e-05
2025-12-29,2.6544400498096365e-05
2025-12-30,2.584004014352104e-05
2025-12-31,2.5135679788945708e-05
2026-01-01,2.443131943437038e-05
2026-01-02,2.372695907979505e-05
