date,CH4,CO,NO2,SO2
2025-08-24,,0.0379184521734714,9.646703256294133e-05,0.0003466360503807
2025-08-25,1867.2894287109373,0.0282396636903285,4.644288128474727e-05,0.0008174445247277
2025-08-26,,,6.822789873695001e-05,-0.0007987775607034
2025-08-27,,0.0341874584555625,,-0.000513469974976
2025-08-28,,0.0274496953934431,6.010774086462334e-05,0.0003273314796388
2025-08-29,,0.0238408725708723,8.15631719888188e-05,-5.031254841014743e-05
2025-08-30,,0.026330703869462,3.238601493649185e-05,0.0004142247198615
2025-08-31,,0.0275496412068605,2.207721081504133e-05,-0.0005344136152416
2025-09-01,,0.0234876722097396,4.543573595583439e-05,5.835148112964816e-05
2025-09-02,,0.0259767733514308,2.148273415514268e-05,0.0003649168356787
2025-09-03,,0.0238333921879529,7.869069668231532e-05,1.6534342648810707e-05
2025-09-04,,0.0299892332404851,6.042393215466291e-05,0.0006489308434538
2025-09-05,,,3.950735117541626e-05,6.919027509866282e-05
2025-09-06,,0.0292877703905105,,-0.0003400774730835
2025-09-07,,,4.86607059428934e-05,-0.0003102854534517
2025-09-08,,,,
2025-09-09,,0.0269947964698076,,0.0001307001075474
2025-09-10,,0.0176567398011684,6.452338129747659e-05,-0.0001081802838598
2025-09-11,,,3.931847822968848e-05,-0.0010858937166631
2025-09-12,,,3.789855327340774e-05,0.0002118312695529
2025-09-13,1854.8236083984373,0.0290243215858936,5.685467112925835e-05,-5.393269748310559e-05
2025-09-14,,0.0232302229851484,4.768436701851897e-05,-0.000126628219732
2025-09-15,,0.0283256508409976,6.784814468119293e-05,-4.759034254675498e-06
2025-09-16,,0.0300608240067958,8.399071521125734e-05,-0.0004444646765477
2025-09-17,,,,
2025-09-18,,,,
2025-09-19,,,,-2.696680894587189e-05
2025-09-20,,,,
2025-09-21,,0.0263761561363935,6.72118112561293e-05,0.0001621753617655
2025-09-22,,0.0285316295921802,3.6771387385670096e-05,0.0003468487411737
2025-09-23,,0.0351857095956802,0.0004120467638131,0.0005547758191823
2025-09-24,,0.0465351343154907,0.0006313444464467,0.0003542336635291
2025-09-25,,0.0255474206060171,6.487243808805943e-05,0.0003851670480798
2025-09-26,,0.0276392139494419,4.752714085043408e-05,5.623660763376392e-05
2025-09-27,,0.0366588123142719,3.377954271854833e-05,0.0005964333540759
2025-09-28,,0.0301189236342906,4.181465556030162e-05,-1.5039177014841698e-06
2025-09-29,,0.0282685738056898,6.945918721612543e-05,0.0002083323925035
2025-09-30,,,,
2025-10-01,,,,
2025-10-02,,0.0309072211384773,0.0001136809732997,-0.0003332575724925
2025-10-03,,0.0332050509750843,7.446340896422043e-05,7.250640919664875e-05
2025-10-04,,0.0327070876955986,3.132772326353006e-05,-1.3378384210227525e-05
2025-10-05,,0.0321999862790107,5.518067700904794e-05,0.0001200983533635
2025-10-06,,0.0343656539916992,8.707982487976551e-05,-3.588085382943973e-05
2025-10-07,,0.0417798347771167,0.0001493558374932,-0.0001004253645078
